,pos,nega,neu
583,32,23,15
584,11,5,5
585,11,9,4
586,4,3,0
587,9,9,7
588,21,16,8
589,21,11,7
590,24,8,7
591,7,5,3
592,12,6,5
593,10,4,2
594,6,2,1
595,10,6,4
596,21,14,10
597,12,9,8
598,9,5,2
599,22,9,9
600,65,41,18
601,9,5,4
602,4,3,1
603,15,7,7
604,11,6,3
605,24,21,13
606,14,11,4
607,18,10,9
608,9,1,0
609,3,1,1
610,5,4,4
611,23,9,4
612,7,7,5
613,23,11,12
614,7,3,2
615,13,9,8
616,33,16,10
617,18,9,6
618,14,7,4
619,22,18,12
620,16,14,10
621,21,10,10
622,21,18,13
623,20,7,4
624,17,10,4
625,20,10,9
626,9,7,5
627,22,24,7
628,20,7,7
629,15,10,5
630,13,11,9
631,14,10,7
632,29,20,19
633,26,15,9
634,23,11,6
635,21,11,7
636,11,9,9
637,24,20,19
638,24,12,6
639,9,7,6
640,10,4,0
641,8,8,2
642,19,12,8
643,12,8,3
644,13,9,6
645,21,14,9
646,19,12,10
647,9,6,5
648,26,21,18
649,9,5,6
650,26,9,11
651,17,9,4
652,15,9,5
653,36,24,20
654,28,18,11
655,16,12,6
656,26,15,8
657,29,16,20
658,15,10,9
659,14,10,8
660,12,6,7
661,10,4,3
662,13,10,10
663,20,11,5
664,28,16,11
665,15,18,9
666,11,6,2
667,11,3,2
668,18,13,12
669,11,9,5
670,5,5,3
671,21,22,11
672,24,25,8
673,29,15,17
674,13,3,4
675,13,9,6
676,16,11,8
677,9,5,3
678,13,8,5
679,28,10,7
680,17,18,7
681,21,11,4
682,34,18,15
683,12,7,4
684,22,15,11
685,14,9,8
686,44,18,9
687,23,12,7
688,6,2,2
689,12,8,7
690,18,11,15
691,17,14,11
692,10,8,7
693,22,16,7
694,13,8,5
695,15,11,11
696,33,21,21
697,8,7,4
698,41,23,17
699,21,16,13
700,18,12,5
701,14,8,5
702,9,5,4
703,7,4,3
704,9,6,6
705,14,5,5
706,16,8,9
707,12,8,4
708,6,3,3
709,10,7,4
710,30,15,16
711,15,10,3
712,21,12,8
713,11,6,1
714,15,6,4
715,13,8,4
716,7,3,2
717,19,8,8
718,4,2,2
719,9,3,1
720,10,8,4
721,14,9,6
722,12,4,3
723,1,1,0
724,9,5,5
725,18,9,6
726,19,20,8
727,16,8,6
728,29,18,14
729,9,5,2
730,19,9,6
731,17,13,7
732,6,5,5
733,13,3,2
734,9,8,5
735,28,23,19
736,10,7,4
737,23,14,12
738,10,2,1
739,12,7,5
